Method,Horizon,CV Group,LT,AR,VI,OFR,BO,EI
LSTM,One-step,0.4 < CV ≤ 0.6,4,3.5421411991119385,4.868043422698975,0.7811017632484436,6.160977840423584,21.83350944519043
LSTM,One-step,0.4 < CV ≤ 0.6,5,5.034816265106201,8.659396171569824,0.7761847376823425,6.233157157897949,31.75286865234375
LSTM,One-step,0.4 < CV ≤ 0.6,6,6.330827713012695,11.917254447937012,0.7719687819480896,5.918737411499023,38.59227752685547
LSTM,One-step,0.4 < CV ≤ 0.6,7,7.375062465667725,14.149188995361328,0.7726413011550903,5.500655174255371,42.492286682128906
LSTM,One-step,0.4 < CV ≤ 0.6,8,8.238441467285156,17.053775787353516,0.7847682237625122,5.187256336212158,46.80215835571289
LSTM,One-step,0.4 < CV ≤ 0.6,9,9.184621810913086,21.434968948364258,0.7941305041313171,5.046183109283447,53.588356018066406
LSTM,One-step,0.4 < CV ≤ 0.6,10,10.616507530212402,27.75005531311035,0.803127646446228,5.096463203430176,64.77412414550781
LSTM,H-step,0.2 < CV ≤ 0.3,2,0.967965304851532,0.5821412801742554,0.9377614259719849,6.03996467590332,11.379979133605957
LSTM,H-step,0.2 < CV ≤ 0.3,3,1.273496389389038,1.1721159219741821,0.9373862743377686,6.000874996185303,16.913217544555664
LSTM,H-step,0.2 < CV ≤ 0.3,4,1.5163817405700684,1.9295746088027954,0.9378750324249268,5.952920913696289,22.37971305847168
LSTM,H-step,0.2 < CV ≤ 0.3,5,1.808764934539795,2.9027626514434814,0.9365635514259338,6.029305458068848,27.70647430419922
LSTM,H-step,0.2 < CV ≤ 0.3,6,2.215972661972046,4.0309834480285645,0.934568464756012,6.106945991516113,32.871185302734375
LSTM,H-step,0.2 < CV ≤ 0.3,7,2.8405840396881104,5.4446868896484375,0.9322428107261658,6.134665012359619,37.86166763305664
LSTM,H-step,0.2 < CV ≤ 0.3,8,3.4571115970611572,7.40729284286499,0.9307990670204163,6.289877414703369,43.89707565307617
LSTM,H-step,0.2 < CV ≤ 0.3,9,4.105632781982422,10.090424537658691,0.9296225905418396,6.4184041023254395,50.68586349487305
LSTM,H-step,0.2 < CV ≤ 0.3,10,4.682808876037598,12.680511474609375,0.9289237260818481,6.496938705444336,57.21500778198242
LSTM,H-step,0.3 < CV ≤ 0.4,2,0.8447931408882141,0.5931440591812134,0.830880343914032,7.965719699859619,8.802931785583496
LSTM,H-step,0.3 < CV ≤ 0.4,3,1.1180593967437744,1.2148241996765137,0.8290994763374329,7.957235813140869,13.38537311553955
LSTM,H-step,0.3 < CV ≤ 0.4,4,1.3403525352478027,2.067911148071289,0.8291820883750916,7.922449111938477,18.202089309692383
LSTM,H-step,0.3 < CV ≤ 0.4,5,1.563071370124817,3.1001758575439453,0.8263155817985535,8.070537567138672,23.073331832885742
LSTM,H-step,0.3 < CV ≤ 0.4,6,1.9519888162612915,4.403175354003906,0.8224039077758789,8.229063987731934,28.18509292602539
LSTM,H-step,0.3 < CV ≤ 0.4,7,2.43738055229187,5.95456075668335,0.8207657337188721,8.164778709411621,32.955745697021484
LSTM,H-step,0.3 < CV ≤ 0.4,8,2.7984237670898438,7.657625675201416,0.8181819319725037,8.24586009979248,37.34035873413086
LSTM,H-step,0.3 < CV ≤ 0.4,9,3.1942999362945557,9.820453643798828,0.8162966966629028,8.342546463012695,42.75820541381836
LSTM,H-step,0.3 < CV ≤ 0.4,10,3.6111867427825928,12.478971481323242,0.8139629364013672,8.47072982788086,48.88547134399414
LSTM,H-step,0.4 < CV ≤ 0.6,2,0.8418743014335632,0.7045004963874817,0.8101004362106323,5.195754051208496,6.991278171539307
LSTM,H-step,0.4 < CV ≤ 0.6,3,1.1726083755493164,1.376874566078186,0.8085004091262817,5.08942985534668,10.265628814697266
LSTM,H-step,0.4 < CV ≤ 0.6,4,1.434116005897522,2.246985912322998,0.8084433078765869,5.032555103302002,13.80289077758789
LSTM,H-step,0.4 < CV ≤ 0.6,5,1.682042121887207,3.2156472206115723,0.8059592247009277,5.112513065338135,17.153844833374023
LSTM,H-step,0.4 < CV ≤ 0.6,6,1.9090089797973633,4.378730773925781,0.8057907819747925,5.108259677886963,20.36469078063965
LSTM,H-step,0.4 < CV ≤ 0.6,7,2.2042579650878906,5.6576361656188965,0.8051840662956238,5.040050506591797,23.589576721191406
LSTM,H-step,0.4 < CV ≤ 0.6,8,2.5761795043945312,7.32700777053833,0.8007809519767761,5.116294860839844,26.764284133911133
LSTM,H-step,0.4 < CV ≤ 0.6,9,2.978421211242676,9.375066757202148,0.7993394136428833,5.112883567810059,30.437828063964844
LSTM,H-step,0.4 < CV ≤ 0.6,10,3.3215606212615967,11.311296463012695,0.7998011708259583,5.0840163230896,33.99402618408203
